dt,Цена на арматуру
2015-01-05,32900
2015-01-12,32500
2015-01-19,32000
2015-01-26,30700
2015-02-02,30300
2015-02-09,30300
2015-02-16,30100
2015-02-23,29400
2015-03-02,29200
2015-03-09,29000
2015-03-16,28700
2015-03-23,27800
2015-03-30,27200
2015-04-06,26600
2015-04-13,25700
2015-04-20,24800
2015-04-27,24700
2015-05-04,24300
2015-05-11,23900
2015-05-18,24000
2015-05-25,23700
2015-06-01,23500
2015-06-08,23800
2015-06-15,24400
2015-06-22,25000
2015-06-29,25300
2015-07-06,25500
2015-07-13,25500
2015-07-20,25400
2015-07-27,25200
2015-08-03,25000
2015-08-10,24700
2015-08-17,24400
2015-08-24,24100
2015-08-31,24100
2015-09-07,23900
2015-09-14,24200
2015-09-21,24200
2015-09-28,24000
2015-10-05,24000
2015-10-12,23800
2015-10-19,23800
2015-10-26,24200
2015-11-02,24500
2015-11-09,24500
2015-11-16,23950
2015-11-23,23750
2015-11-30,23100
2015-12-07,22800
2015-12-14,22000
2015-12-21,21700
2015-12-28,21300
2016-01-04,21300
2016-01-11,21300
2016-01-18,21200
2016-01-25,21000
2016-02-01,21000
2016-02-08,21000
2016-02-15,21200
2016-02-22,21800
2016-02-29,22450
2016-03-07,23300
2016-03-14,23800
2016-03-21,25500
2016-03-28,26700
2016-04-04,29900
2016-04-11,29950
2016-04-18,31500
2016-04-25,31900
2016-05-02,40300
2016-05-09,43500
2016-05-16,43350
2016-05-23,42950
2016-05-30,42000
2016-06-06,38300
2016-06-13,37500
2016-06-20,36800
2016-06-27,35400
2016-07-04,34400
2016-07-11,33400
2016-07-18,32500
2016-07-25,32000
2016-08-01,31000
2016-08-08,30200
2016-08-15,29200
2016-08-22,28850
2016-08-29,28700
2016-09-05,28500
2016-09-12,30000
2016-09-19,32000
2016-09-26,32500
2016-10-03,33300
2016-10-10,34300
2016-10-17,33700
2016-10-24,32200
2016-10-31,30400
2016-11-07,30200
2016-11-14,29800
2016-11-21,33500
2016-11-28,33500
2016-12-05,33500
2016-12-12,33500
2016-12-19,33000
2016-12-26,32500
2017-01-02,33750
2017-01-09,33750
2017-01-16,33750
2017-01-23,33750
2017-01-30,33000
2017-02-06,32600
2017-02-13,32000
2017-02-20,31300
2017-02-27,30300
2017-03-06,30500
2017-03-13,30700
2017-03-20,30600
2017-03-27,30400
2017-04-03,29800
2017-04-10,29500
2017-04-17,28200
2017-04-24,27500
2017-05-01,26500
2017-05-08,26300
2017-05-15,26300
2017-05-22,26200
2017-05-29,26150
2017-06-05,26150
2017-06-12,26150
2017-06-19,26350
2017-06-26,26550
2017-07-03,26650
2017-07-10,28000
2017-07-17,28800
2017-07-24,29400
2017-07-31,29400
2017-08-07,30900
2017-08-14,33900
2017-08-21,35900
2017-08-28,36800
2017-09-04,38600
2017-09-11,39600
2017-09-18,38800
2017-09-25,38800
2017-10-02,37500
2017-10-09,37000
2017-10-16,35800
2017-10-23,33800
2017-10-30,31500
2017-11-06,30000
2017-11-13,32500
2017-11-20,32500
2017-11-27,32000
2017-12-04,31500
2017-12-11,31700
2017-12-18,31800
2017-12-25,34600
2018-01-01,35600
2018-01-08,35600
2018-01-15,35600
2018-01-22,35300
2018-01-29,34500
2018-02-05,33700
2018-02-12,34000
2018-02-19,33900
2018-02-26,32700
2018-03-05,32900
2018-03-12,33300
2018-03-19,33600
2018-03-26,34800
2018-04-02,36100
2018-04-09,36100
2018-04-16,35900
2018-04-23,35900
2018-04-30,36400
2018-05-07,37900
2018-05-14,37700
2018-05-21,37900
2018-05-28,37900
2018-06-04,37600
2018-06-11,37400
2018-06-18,37400
2018-06-25,37100
2018-07-02,37100
2018-07-09,37200
2018-07-16,37800
2018-07-23,37500
2018-07-30,37500
2018-08-06,39400
2018-08-13,39650
2018-08-20,40750
2018-08-27,43100
2018-09-03,48700
2018-09-10,48850
2018-09-17,48350
2018-09-24,44600
2018-10-01,42600
2018-10-08,41500
2018-10-15,40800
2018-10-22,39700
2018-10-29,39500
2018-11-05,38800
2018-11-12,38300
2018-11-19,38000
2018-11-26,37600
2018-12-03,37600
2018-12-10,37300
2018-12-17,37000
2018-12-24,36700
2018-12-31,36000
2019-01-07,36000
2019-01-14,35700
2019-01-21,35300
2019-01-28,34000
2019-02-04,33800
2019-02-11,34550
2019-02-18,36000
2019-02-25,37700
2019-03-04,40200
2019-03-11,40200
2019-03-18,39900
2019-03-25,39400
2019-04-01,39300
2019-04-08,39500
2019-04-15,39500
2019-04-22,39300
2019-04-29,39300
2019-05-06,39300
2019-05-13,40300
2019-05-20,40000
2019-05-27,40200
2019-06-03,40200
2019-06-10,40300
2019-06-17,41500
2019-06-24,40500
2019-07-01,40500
2019-07-08,40300
2019-07-15,39800
2019-07-22,39800
2019-07-29,40200
2019-08-05,40300
2019-08-12,39200
2019-08-19,38700
2019-08-26,38200
2019-09-02,37700
2019-09-09,36900
2019-09-16,36200
2019-09-23,35000
2019-09-30,34200
2019-10-07,33500
2019-10-14,33300
2019-10-21,33500
2019-10-28,33300
2019-11-04,33800
2019-11-11,33500
2019-11-18,32300
2019-11-25,32200
2019-12-02,31800
2019-12-09,31100
2019-12-16,30600
2019-12-23,31400
2019-12-30,32900
2020-01-06,32900
2020-01-13,33400
2020-01-20,32500
2020-01-27,32890
2020-02-03,33400
2020-02-10,32800
2020-02-17,32000
2020-02-24,31500
2020-03-02,32500
2020-03-09,33500
2020-03-16,34000
2020-03-23,35000
2020-03-30,35000
2020-04-06,34500
2020-04-13,34000
2020-04-20,33500
2020-04-27,33500
2020-05-04,33500
2020-05-11,33500
2020-05-18,33500
2020-05-25,33500
2020-06-01,33000
2020-06-08,33000
2020-06-15,33000
2020-06-22,33700
2020-06-29,34500
2020-07-06,34500
2020-07-13,35000
2020-07-20,35000
2020-07-27,35100
2020-08-03,35100
2020-08-10,35200
2020-08-17,35500
2020-08-24,36500
2020-08-31,37200
2020-09-07,37500
2020-09-14,37500
2020-09-21,38000
2020-09-28,38500
2020-10-05,39500
2020-10-12,40000
2020-10-19,39500
2020-10-26,39500
2020-11-02,39500
2020-11-09,39500
2020-11-16,39500
2020-11-23,39500
2020-11-30,41500
2020-12-07,42500
2020-12-14,51000
2020-12-21,58000
2020-12-28,61000
2021-01-04,61000
2021-01-11,61000
2021-01-18,62000
2021-01-25,62000
2021-02-01,59000
2021-02-08,55000
2021-02-15,51500
2021-02-22,48500
2021-03-01,48000
2021-03-08,49000
2021-03-15,50500
2021-03-22,50800
2021-03-29,51500
2021-04-05,53500
2021-04-12,54500
2021-04-19,58500
2021-04-26,60500
2021-05-03,62500
2021-05-10,63500
2021-05-17,67000
2021-05-24,71900
2021-05-31,71900
2021-06-07,72500
2021-06-14,74000
2021-06-21,74000
2021-06-28,74000
2021-07-05,74000
2021-07-12,73500
2021-07-19,72500
2021-07-26,71500
2021-08-02,69500
2021-08-09,66000
2021-08-16,65000
2021-08-23,63500
2021-08-30,62000
2021-09-06,59000
2021-09-13,56500
2021-09-20,55000
2021-09-27,54000
2021-10-04,56800
2021-10-11,59000
2021-10-18,64000
2021-10-25,73000
2021-11-01,77000
2021-11-08,79000
2021-11-15,78000
2021-11-22,72500
2021-11-29,64000
2021-12-06,61500
2021-12-13,60500
2021-12-20,61500
2021-12-27,62500
2022-01-03,63500
2022-01-10,63500
2022-01-17,63700
2022-01-24,62500
2022-01-31,62900
2022-02-07,65000
2022-02-14,65500
2022-02-21,69000
2022-02-28,78000
2022-03-07,77000
2022-03-14,74000
2022-03-21,67000
2022-03-28,69500
2022-04-04,69500
2022-04-11,67500
2022-04-18,64000
2022-04-25,61500
2022-05-02,58000
2022-05-09,56000
2022-05-16,54000
2022-05-23,50000
2022-05-30,46000
2022-06-06,43500
2022-06-13,42000
2022-06-20,43000
2022-06-27,44000
2022-07-04,45000
2022-07-11,45500
2022-07-18,47000
2022-07-25,47500
2022-08-01,47500
2022-08-08,49000
2022-08-15,47500
2022-08-22,46500
2022-08-29,46000
2022-09-05,46000
2022-09-12,46000
2022-09-19,46000
2022-09-26,45500
2022-10-03,45500
2022-10-10,45000
2022-10-17,44000
2022-10-24,43000
2022-10-31,42000
2022-11-07,41500
2022-11-14,41000
2022-11-21,40000
2022-11-28,40000
2022-12-05,40500
2022-12-12,41700
2022-12-19,41700
2022-12-26,42500
2023-01-02,42700
2023-01-09,42700
2023-01-16,42700
2023-01-23,42800
2023-01-30,42800
2023-02-06,44500
2023-02-13,44500
2023-02-20,46000
2023-02-27,49200
2023-03-06,53700
2023-03-13,55500
